Matiz,Saturacion,Valor,Brillo,SRE,LRE,GNL,RLNU,RP,LGRE,HGRE,SRLGE,SRHGE,LRLGE,LRHGE,GLV,RLV,Etiqueta
0.060612,0.824811,0.580747,0.429898,0.159454,0.847308,0.362195,0.781203,0.220909,0.361683,0.763824,0.705561,0.785204,0.163787,0.812843,0.72326,0.622587,1
0.069899,0.835648,0.490892,0.444746,0.229052,0.72261,0.523406,0.949497,0.411204,0.333649,0.952083,0.699932,0.668843,0.317124,0.654501,0.472736,0.822547,1
0.056894,0.825196,0.579914,0.427863,0.163004,0.834072,0.369315,0.774432,0.213617,0.364983,0.758373,0.712063,0.789898,0.157572,0.819294,0.718837,0.627241,1
0.050065,0.81764,0.588015,0.432523,0.183427,0.833409,0.36585,0.765934,0.230175,0.373002,0.749676,0.709356,0.786387,0.16684,0.814591,0.712514,0.633777,1
0.062217,0.791159,0.621279,0.50164,0.22854,0.820334,0.388233,0.792114,0.260539,0.416078,0.778227,0.68665,0.758919,0.180129,0.80614,0.703509,0.640751,1
0.052417,0.784587,0.627765,0.502365,0.227234,0.814337,0.387755,0.780651,0.266601,0.423277,0.767089,0.691578,0.760508,0.185295,0.805683,0.692038,0.654123,1
0.05339,0.782446,0.631562,0.507046,0.219756,0.805869,0.392638,0.777007,0.262867,0.430238,0.764312,0.695368,0.765624,0.180978,0.809623,0.691565,0.659267,1
0.06383,0.77681,0.638796,0.510712,0.208732,0.802173,0.391666,0.768453,0.254512,0.437756,0.75591,0.701872,0.771684,0.176023,0.809736,0.690179,0.66319,1
0.064807,0.776776,0.642595,0.513611,0.20881,0.793356,0.396176,0.763268,0.249007,0.444048,0.751583,0.70585,0.772853,0.172222,0.817127,0.679402,0.676281,1
0.064978,0.769868,0.651866,0.521629,0.214684,0.793373,0.39384,0.758214,0.259482,0.454007,0.746363,0.707334,0.77387,0.177406,0.814419,0.674422,0.684333,1
0.068917,0.793778,0.628719,0.459316,0.141662,0.797024,0.3757,0.726328,0.203305,0.42516,0.713018,0.739687,0.812122,0.146936,0.8418,0.688373,0.680131,1
0.068813,0.78699,0.63615,0.463315,0.133504,0.796849,0.372824,0.719884,0.202735,0.432457,0.706385,0.745318,0.816878,0.14917,0.835722,0.686824,0.682206,1
0.068644,0.83839,0.48275,0.440619,0.239392,0.721425,0.524714,0.950721,0.414719,0.326892,0.953485,0.695201,0.662836,0.32053,0.652407,0.471706,0.82081,1
0.059373,0.785384,0.63989,0.467873,0.173193,0.78626,0.380529,0.718224,0.216394,0.439664,0.705904,0.737711,0.806475,0.153863,0.83596,0.671933,0.694196,1
0.063514,0.781596,0.651711,0.47505,0.163955,0.789442,0.375957,0.714148,0.21377,0.449648,0.701325,0.745082,0.811419,0.155261,0.836499,0.661712,0.705831,1
0.056775,0.782008,0.651745,0.476355,0.187213,0.779664,0.382824,0.712045,0.229123,0.452876,0.700291,0.742574,0.808311,0.160455,0.83727,0.65553,0.712503,1
0.057503,0.750877,0.687999,0.549861,0.246475,0.776873,0.395564,0.734055,0.270919,0.496997,0.72334,0.716312,0.774628,0.185051,0.817911,0.637773,0.721645,1
0.057358,0.7502,0.691238,0.553444,0.255079,0.768999,0.400684,0.731584,0.272444,0.502918,0.721705,0.715474,0.774714,0.184137,0.819992,0.635156,0.725232,1
0.059207,0.768753,0.670876,0.489734,0.186282,0.772207,0.381978,0.697592,0.224188,0.473711,0.686236,0.753113,0.813513,0.156333,0.841062,0.645914,0.727145,1
0.054549,0.768173,0.674143,0.496069,0.203856,0.765515,0.388234,0.699391,0.22969,0.479933,0.688872,0.7487,0.807766,0.158698,0.839625,0.639165,0.732596,1
0.055535,0.76299,0.681444,0.501194,0.219165,0.761879,0.388906,0.694511,0.238192,0.487328,0.684257,0.747394,0.805846,0.163764,0.836611,0.637596,0.732557,1
0.05286,0.763857,0.68448,0.503491,0.220082,0.757378,0.39193,0.693176,0.23257,0.492227,0.683402,0.752729,0.810172,0.157127,0.843582,0.636246,0.737962,1
