Matiz,Saturacion,Valor,Brillo,SRE,LRE,GNL,RLNU,RP,LGRE,HGRE,SRLGE,SRHGE,LRLGE,LRHGE,GLV,RLV,Etiqueta
0.158969,0.43639,0.683442,0.635621,0.302604,0.428512,0.362907,0.103968,0.479598,0.869431,0.113259,0.805487,0.711523,0.464478,0.284334,0.11124,0.988757,3
0.04446,0.754296,0.847731,0.470467,0.354912,0.772928,0.282647,0.537313,0.261072,0.578551,0.520177,0.760736,0.813382,0.166347,0.845034,0.573687,0.803041,4
0.072156,0.788731,0.502002,0.433819,0.417537,0.604866,0.538027,0.762179,0.366046,0.362388,0.771749,0.626392,0.682168,0.250573,0.742739,0.627633,0.696349,4
0.102164,0.798851,0.45409,0.18155,0.142621,0.527866,0.454454,0.421849,0.062332,0.320391,0.429621,0.837563,0.937951,0.033518,0.888463,0.732459,0.714542,4
0.152641,0.551585,0.633997,0.542849,0.275486,0.505059,0.3627,0.237173,0.395543,0.793198,0.241758,0.816871,0.750668,0.376711,0.418716,0.217047,0.965463,2
0.767147,0.042145,0.227977,0.769965,0.638055,0.004512,0.995803,0.504447,0.904333,0.49684,0.575833,0.059862,0.050972,0.882774,0.066669,0.612313,0.289733,5
0.152047,0.516705,0.68882,0.585215,0.256212,0.495752,0.321347,0.164238,0.33257,0.832874,0.167599,0.801252,0.760553,0.315938,0.473304,0.299539,0.940542,2
0.028618,0.842797,0.485858,0.233898,0.125539,0.736075,0.353472,0.602427,0.140869,0.30428,0.591648,0.849409,0.94017,0.052904,0.936321,0.723267,0.750695,1
0.157204,0.485882,0.460022,0.475128,0.266366,0.348739,0.51806,0.184207,0.420835,0.683052,0.205336,0.80572,0.752978,0.393664,0.366856,0.251376,0.957003,3
0.056915,0.839984,0.552593,0.423584,0.151829,0.852104,0.360738,0.808161,0.222927,0.339769,0.79037,0.697816,0.776111,0.165885,0.80467,0.736825,0.608286,1
0.046291,0.75424,0.840813,0.478655,0.344382,0.784493,0.287987,0.562829,0.270206,0.566624,0.545153,0.751325,0.80567,0.170323,0.839752,0.580819,0.793959,4
0.166423,0.455671,0.622147,0.583328,0.290694,0.426232,0.359028,0.09565,0.496364,0.816146,0.104943,0.780819,0.689705,0.480793,0.282264,0.131699,0.979887,3
0.051203,0.940869,0.278391,0.22148,0.109772,0.847873,0.389797,0.86458,0.400578,0.10068,0.849069,0.688609,0.665299,0.3604,0.576097,0.529801,0.769306,1
0.156858,0.472862,0.576505,0.552664,0.223434,0.388499,0.466724,0.179594,0.436112,0.779179,0.195942,0.8678,0.763867,0.441426,0.303351,0.104886,0.995462,3
0.109545,0.777766,0.588835,0.325656,0.208956,0.650483,0.371512,0.489396,0.20438,0.432174,0.485016,0.784644,0.854031,0.176778,0.834437,0.644924,0.690669,4
0.154338,0.576602,0.685608,0.372343,0.104685,0.538096,0.139036,0.023458,0.100907,0.79535,0.017429,0.917472,0.960509,0.10667,0.676317,0.524549,0.890392,2
0.143618,0.412529,0.696953,0.809746,0.561092,0.360777,0.564319,0.298998,0.642798,0.902408,0.322357,0.710044,0.603877,0.594725,0.226046,0.055867,0.988309,3
0.742476,0.025434,0.075394,0.591904,0.54778,0.01616,0.976391,0.450217,0.946595,0.373527,0.518528,0,0,0.963245,0.012326,0.674583,0.082404,5
0.073473,0.960909,0.198116,0.112117,0.076126,0.832952,0.363584,0.782424,0.303472,0.035002,0.766051,0.718541,0.737973,0.265994,0.638881,0.652755,0.690697,1
0.15206,0.501002,0.815831,0.588951,0.153013,0.47274,0.305559,0.104773,0.184237,0.92471,0.108935,0.900514,0.825281,0.262029,0.470943,0.198024,0.979889,2
0.891244,0.420594,0.745127,0.652146,0.244738,0.802867,0.058195,0.262172,0.277035,0.595281,0.232838,0.614816,0.705754,0.14516,0.856358,0.963987,0.267463,5
0.064779,0.842356,0.464228,0.432474,0.210503,0.73045,0.512527,0.956471,0.434478,0.312071,0.957554,0.694764,0.656896,0.340332,0.633064,0.474373,0.81999,1
0.083999,0.676697,0.717472,0.540025,0.468387,0.505145,0.531091,0.536956,0.344187,0.610069,0.55102,0.715147,0.730688,0.26302,0.707557,0.455021,0.852936,4
0.173292,0.512719,0.516948,0.466526,0.158796,0.414094,0.418204,0.156451,0.344027,0.720172,0.169084,0.862794,0.839829,0.314728,0.440418,0.340736,0.94431,3
0.155264,0.593063,0.622564,0.37726,0.124145,0.542518,0.238239,0.134083,0.1652,0.754882,0.13104,0.912315,0.911807,0.183075,0.601456,0.423982,0.923627,2
0.069995,0.953644,0.265291,0.142864,0.054769,0.872417,0.329815,0.778354,0.268564,0.074039,0.757252,0.742553,0.750447,0.261544,0.655059,0.600078,0.731397,1
0.021501,0.875876,0.511466,0.161537,0.100798,0.751571,0.302449,0.536615,0.045906,0.303037,0.521947,0.893115,0.997991,0,0.983226,0.755411,0.738185,1
0.04969,0.831548,0.670313,0.280587,0.098982,0.709579,0.343166,0.542237,0.087049,0.462528,0.532641,0.907475,0.931785,0.085383,0.870445,0.516533,0.87335,1
